	Yield_Value_Cat
5584	2
5585	2
5586	2
5587	2
5588	2
5589	2
5590	4
5591	4
5592	4
5593	4
5594	4
5595	4
5596	1
5597	1
5598	1
5599	1
5600	1
5601	1
5602	1
5603	1
5604	1
5605	1
5606	1
5607	1
5608	2
5609	2
5610	2
5611	2
5612	2
5613	2
5614	2
5615	2
5616	2
5617	2
5618	2
5619	2
5620	1
5621	1
5622	1
5623	1
5624	1
5625	1
5626	1
5627	1
5628	1
5629	1
5630	1
5631	1
5632	2
5633	2
5634	2
5635	2
5636	2
5637	2
5638	3
5639	3
5640	3
5641	3
5642	3
5643	3
5644	1
5645	1
5646	1
5647	1
5648	1
5649	1
5650	1
5651	1
5652	1
5653	1
5654	1
5655	1
5656	2
5657	2
5658	2
5659	2
5660	2
5661	2
5662	3
5663	3
5664	3
5665	3
5666	3
5667	3
5668	1
5669	1
5670	1
5671	1
5672	1
5673	1
5674	1
5675	1
5676	1
5677	1
5678	1
5679	1
5680	2
5681	2
5682	2
5683	2
5684	2
5685	2
5686	3
5687	3
5688	3
5689	3
5690	3
5691	3
5692	1
5693	1
5694	1
5695	1
5696	1
5697	1
5698	1
5699	1
5700	1
5701	1
5702	1
5703	1
5704	2
5705	2
5706	2
5707	2
5708	2
5709	2
5710	3
5711	3
5712	3
5713	3
5714	3
5715	3
5716	1
5717	1
5718	1
5719	1
5720	1
5721	1
5722	1
5723	1
5724	1
5725	1
5726	1
5727	1
5728	2
5729	2
5730	2
5731	2
5732	2
5733	2
5734	3
5735	3
5736	3
5737	3
5738	3
5739	3
5740	1
5741	1
5742	1
5743	1
5744	1
5745	1
5746	1
5747	1
5748	1
5749	1
5750	1
5751	1
5752	2
5753	2
5754	2
5755	2
5756	2
5757	2
5758	3
5759	3
5760	3
5761	3
5762	3
5763	3
5764	1
5765	1
5766	1
5767	1
5768	1
5769	1
5770	1
5771	1
5772	1
5773	1
5774	1
5775	1
5776	2
5777	2
5778	2
5779	2
5780	2
5781	2
5782	3
5783	3
5784	3
5785	3
5786	3
5787	3
5788	1
5789	1
5790	1
5791	1
5792	1
5793	1
5794	1
5795	1
5796	1
5797	1
5798	1
5799	1
5800	2
5801	2
5802	2
5803	2
5804	2
5805	2
5806	3
5807	3
5808	3
5809	3
5810	3
5811	3
5812	1
5813	1
5814	1
5815	1
5816	1
5817	1
5818	1
5819	1
5820	1
5821	1
5822	1
5823	1
5824	2
5825	2
5826	2
5827	2
5828	2
5829	2
5830	3
5831	3
5832	3
5833	3
5834	3
5835	3
5836	1
5837	1
5838	1
5839	1
5840	1
5841	1
5842	1
5843	1
5844	1
5845	1
5846	1
5847	1
5848	2
5849	2
5850	2
5851	2
5852	2
5853	2
5854	3
5855	3
5856	3
5857	3
5858	3
5859	3
5860	1
5861	1
5862	1
5863	1
5864	1
5865	1
5866	1
5867	1
5868	1
5869	1
5870	1
5871	1
5872	2
5873	2
5874	2
5875	2
5876	2
5877	2
5878	3
5879	3
5880	3
5881	3
5882	3
5883	3
5884	1
5885	1
5886	1
5887	1
5888	1
5889	1
5890	1
5891	1
5892	1
5893	1
5894	1
5895	1
5896	2
5897	2
5898	2
5899	2
5900	2
5901	2
5902	3
5903	3
5904	3
5905	3
5906	3
5907	3
5908	1
5909	1
5910	1
5911	1
5912	1
5913	1
5914	1
5915	1
5916	1
5917	1
5918	1
5919	1
5920	2
5921	2
5922	2
5923	2
5924	2
5925	2
5926	3
5927	3
5928	3
5929	3
5930	3
5931	3
5932	1
5933	1
5934	1
5935	1
5936	1
5937	1
5938	1
5939	1
5940	1
5941	1
5942	1
5943	1
5944	2
5945	2
5946	2
5947	2
5948	2
5949	2
5950	3
5951	3
5952	3
5953	3
5954	3
5955	3
5956	1
5957	1
5958	1
5959	1
5960	1
5961	1
5962	1
5963	1
5964	1
5965	1
5966	1
5967	1
5968	2
5969	2
5970	2
5971	2
5972	2
5973	2
5974	3
5975	3
5976	3
5977	3
5978	3
5979	3
5980	1
5981	1
5982	1
5983	1
5984	1
5985	1
5986	1
5987	1
5988	1
5989	1
5990	1
5991	1
5992	2
5993	2
5994	2
5995	2
5996	2
5997	2
5998	3
5999	3
6000	3
6001	3
6002	3
6003	3
6004	1
6005	1
6006	1
6007	1
6008	1
6009	1
6010	1
6011	1
6012	1
6013	1
6014	1
6015	1
6016	2
6017	2
6018	2
6019	2
6020	2
6021	2
6022	3
6023	3
6024	3
6025	3
6026	3
6027	3
6028	1
6029	1
6030	1
6031	1
6032	1
6033	1
6034	1
6035	1
6036	1
6037	1
6038	1
6039	1
6040	2
6041	2
6042	2
6043	2
6044	2
6045	2
6046	3
6047	3
6048	3
6049	3
6050	3
6051	3
6052	1
6053	1
6054	1
6055	1
6056	1
6057	1
6058	1
6059	1
6060	1
6061	1
6062	1
6063	1
6064	2
6065	2
6066	2
6067	2
6068	2
6069	2
6070	3
6071	3
6072	3
6073	3
6074	3
6075	3
6076	1
6077	1
6078	1
6079	1
6080	1
6081	1
6082	1
6083	1
6084	1
6085	1
6086	1
6087	1
6088	2
6089	2
6090	2
6091	2
6092	2
6093	2
6094	3
6095	3
6096	3
6097	3
6098	3
6099	3
6100	2
6101	2
6102	2
6103	2
6104	2
6105	2
6106	1
6107	1
6108	1
6109	1
6110	1
6111	1
6112	2
6113	2
6114	2
6115	2
6116	2
6117	2
6118	3
6119	3
6120	3
6121	3
6122	3
6123	3
6124	1
6125	1
6126	1
6127	1
6128	1
6129	1
6130	2
6131	2
6132	2
6133	2
6134	2
6135	2
